🕘️更新时间,#genre#
2026-04-17 12:17:01,http://hy.tzk.cc.cd/?id=17091681

🎵音乐频道,#genre#
音乐小石榴,http://hy.tzk.cc.cd/?id=17091681
音乐小石榴,https://live.ottiptv.cc/huya/17091681
音乐小石榴,http://shorturl.jxpan.vip:880/r/baoshi_aio/huya/17091681
音乐小石榴,http://live.chinacert.cftest5.cn/huya/17091681
秋月剪水,https://douyu.tzk.cc.cd/?id=9588891
秋月剪水,http://live.nctv.top/douyu1.php?id=9588891
秋月剪水,http://iptv77.iptv66.eu.org:35455/douyu/9588891
喵喵音乐台,https://douyu.tzk.cc.cd/?id=9568091
喵喵音乐台,http://live.nctv.top/douyu1.php?id=9568091
喵喵音乐台,http://iptv77.iptv66.eu.org:35455/douyu/9568091
阿7点歌台,https://douyu.tzk.cc.cd/?id=3186217
阿7点歌台,http://live.nctv.top/douyu1.php?id=3186217
阿7点歌台,http://iptv77.iptv66.eu.org:35455/douyu/3186217
音悦喵点歌台,https://douyu.tzk.cc.cd/?id=3870925
音悦喵点歌台,http://live.nctv.top/douyu1.php?id=3870925
音悦喵点歌台,http://iptv77.iptv66.eu.org:35455/douyu/3870925
下饭音乐,https://douyu.tzk.cc.cd/?id=8661966
下饭音乐,http://live.nctv.top/douyu1.php?id=8661966
下饭音乐,http://iptv77.iptv66.eu.org:35455/douyu/8661966
音乐台长,https://douyu.tzk.cc.cd/?id=9629943
音乐台长,http://live.nctv.top/douyu1.php?id=9629943
音乐台长,http://iptv77.iptv66.eu.org:35455/douyu/9629943
音乐Wu哥,https://douyu.tzk.cc.cd/?id=8667755
音乐Wu哥,http://live.nctv.top/douyu1.php?id=8667755
音乐Wu哥,http://iptv77.iptv66.eu.org:35455/douyu/8667755
音乐快斗,https://douyu.tzk.cc.cd/?id=8324627
音乐快斗,http://live.nctv.top/douyu1.php?id=8324627
音乐快斗,http://iptv77.iptv66.eu.org:35455/douyu/8324627
音乐猛抬头,https://douyu.tzk.cc.cd/?id=8666105
音乐猛抬头,http://live.nctv.top/douyu1.php?id=8666105
音乐猛抬头,http://iptv77.iptv66.eu.org:35455/douyu/8666105
黑糖音乐秀,https://douyu.tzk.cc.cd/?id=9560563
黑糖音乐秀,http://live.nctv.top/douyu1.php?id=9560563
黑糖音乐秀,http://iptv77.iptv66.eu.org:35455/douyu/9560563
荒草音乐,https://douyu.tzk.cc.cd/?id=8706465
荒草音乐,http://live.nctv.top/douyu1.php?id=8706465
荒草音乐,http://iptv77.iptv66.eu.org:35455/douyu/8706465
音乐Fans小琼,https://douyu.tzk.cc.cd/?id=8666210
音乐Fans小琼,http://live.nctv.top/douyu1.php?id=8666210
音乐Fans小琼,http://iptv77.iptv66.eu.org:35455/douyu/8666210
小飞飞音乐,https://douyu.tzk.cc.cd/?id=10469362
小飞飞音乐,http://live.nctv.top/douyu1.php?id=10469362
小飞飞音乐,http://iptv77.iptv66.eu.org:35455/douyu/10469362
热星音乐菌,https://douyu.tzk.cc.cd/?id=8405922
热星音乐菌,http://live.nctv.top/douyu1.php?id=8405922
热星音乐菌,http://iptv77.iptv66.eu.org:35455/douyu/8405922
蚕豆电台,https://douyu.tzk.cc.cd/?id=8768792
蚕豆电台,http://live.nctv.top/douyu1.php?id=8768792
蚕豆电台,http://iptv77.iptv66.eu.org:35455/douyu/8768792
音乐现场,http://wan1.tangwudi.cc:47859/udp/239.94.1.36:5140
综艺节目,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_975_1080P_t10/c58_fast_975_1080P_t10.m3u8?tv.sohu.blog
戏曲精选,http://wan1.tangwudi.cc:47859/udp/239.94.1.37:5140
热门综艺,http://wan1.tangwudi.cc:47859/udp/239.94.1.35:5140
刘德华今日演唱会1-3,https://sns-video-default.xhscdn.com/stream/1/110/258/01e8d5752d2b128a010370019981d8805d_258.mp4
刘德华今日演唱会2-3,https://sns-video-default.xhscdn.com/stream/79/110/258/01e8d575b81a468c4f0370019981d7590e_258.mp4
刘德华今日演唱会3-3,https://sns-video-default.xhscdn.com/stream/79/110/258/01e8d576391a55d74f0370019981d9b2f3_258.mp4
湾区升明月2025大湾区电影音乐晚会,https://vip.dytt-kan.com/20251002/7177_2723ad49/index.m3u8
张学友演唱会,https://alimov2.a.kwimgs.com/upic/2020/05/11/04/BMjAyMDA1MTEwNDE3NTRfMTA4ODgyMjg1OF8yODM1OTM2NTkxMl8yXzM=_b_Bf2cbd177f1349dcfc12d89443cf374af.mp4
S H E《2014 世界巡回演唱会 台北站 完整版》,https://vd2.bdstatic.com/mda-nmtebs1e731y7hfu/576p/h264/1672223127459067725/mda-nmtebs1e731y7hfu.mp4
S H E《2018 十七周年台北演唱会 完整版》,https://vd2.bdstatic.com/mda-nmtfbgevwx16brb0/576p/h264/1672224992649095576/mda-nmtfbgevwx16brb0.mp4
S H E《4EVER世界巡回演唱会 完整版》珍藏版,https://vd3.bdstatic.com/mda-nmkefmyd0arci215/576p/h264/1671618057578437373/mda-nmkefmyd0arci215.mp4
刘若英合集,https://vd4.bdstatic.com/mda-paj1zjmiy8f0u7e9/sc/cae_h264/1674182802321283228/mda-paj1zjmiy8f0u7e9.mp4
云菲菲40首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5207287179922382380_hlsb.m3u8
孟庭苇,https://vd4.bdstatic.com/mda-pah0g785da3bd8cg/hd/cae_h264/1674003403215729852/mda-pah0g785da3bd8cg.mp4

📡辽宁频道,#genre#
辽宁卫视,http://fn.gcl.de5.net:5908/gsh950428/630291707
辽宁卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnwshd
辽宁卫视,http://38.75.136.137:98/gslb/dsdqpub/lnwshd.m3u8?auth=testpub
辽宁卫视,http://lihetl.com:9527/rtp/232.0.0.144:9108
辽宁卫视,http://fb4wd00001.f3322.net:1111/rtp/232.0.0.126:1234
辽宁卫视,https://live.264788.xyz/channel/liaoningweishi?streamid=f8d749ac7ad7ea324f1048b26156df91&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
辽宁卫视,https://live.264788.xyz/channel/liaoningweishi?streamid=45d7919e7279381433994e2e7f5eb57a&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
辽宁卫视,https://live.264788.xyz/channel/liaoningweishi?streamid=11ca6a1856e4f7e06a1e824ae976604b&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
辽宁卫视,http://fuxin.yunjifei.top:999/tsfile/live/0121_1.m3u8
辽宁卫视,http://116.228.170.214:9003/hls/38/index.m3u8
辽宁都市,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnds
辽宁都市,http://lihetl.com:9527/rtp/232.0.0.42:8856
辽宁都市,http://fb4wd00001.f3322.net:1111/rtp/232.0.0.154:1234
辽宁都市,http://fuxin.yunjifei.top:999/tsfile/live/1000_1.m3u8
辽宁体育休闲,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnty
辽宁体育休闲,http://lihetl.com:9527/rtp/232.0.0.66:8820
辽宁体育休闲,http://fb4wd00001.f3322.net:1111/rtp/232.0.0.164:1234
辽宁体育休闲,http://fuxin.yunjifei.top:999/tsfile/live/1003_1.m3u8
辽宁影视剧,http://fn.gcl.de5.net:5908/gsh950428/962067517
